Date_Time,SPY_return,IEF_return,VBINX,SHY_return,Backtest_return,SPY_exposure,IEF_exposure,SHY_exposure
2002-10-15 09:30:00,0.02788606335396504,-0.011123376886590042,0.023761802752673145,-0.002443655032361547,-0.0031616467938326877,0.40768902839625687,1.3063019455831453,0.0
2002-10-15 16:00:00,0.019657420845095253,-0.005741715760099186,0.0,-0.0013468838336445632,0.000664587748736031,0.41291002815119504,1.2978974852045626,0.0
2002-10-16 09:30:00,-0.014542807955462145,0.0009428638996551442,-0.014828618284341788,0.001103874738561883,-0.004960203020157707,0.4260180969644489,1.3101534060213125,0.0
2002-10-16 16:00:00,-0.009838702215366535,-0.0009419757447312049,0.0,-0.0007349173120657637,-0.005318414239170727,0.417265736701283,1.2877835951470433,0.0
2002-10-17 09:30:00,0.026804966397861563,-0.0074248197542138294,0.013088892283096953,-0.0008580211848920882,0.001661191309519498,0.41634132600581963,1.2793339446007062,0.0
2002-10-17 16:00:00,-0.006751501966304585,0.002137271406586594,0.0,-1.1102230246251565e-16,-7.536662073540654e-05,0.41774734236803757,1.2843737927814245,0.0
2002-10-18 09:30:00,-0.0070236716814794375,0.00011878178305146925,0.002584217259008037,-0.00036791043444073246,-0.0027880052570881187,0.41888171762311927,1.2971888189629635,0.0
2002-10-18 16:00:00,0.011294888504395084,0.0028432411873835495,0.0,0.0012271199221283169,0.008428506336512332,0.4189341512539628,1.3001682107796357,0.0
2002-10-21 09:30:00,-0.00586665181769408,0.0005900868784010083,0.009020649269358305,-0.00036818624902967834,-0.0017512223042314115,0.4297392725115415,1.3047373330334318,0.0
2002-10-21 16:00:00,0.023263673742725866,-0.008264427683509767,0.0,-0.0018390633114041544,-0.0007650225085191927,0.4258075624040269,1.291180844713994,0.0
2002-10-22 09:30:00,-0.012420316368485618,0.0005953942094707454,-0.007024416411698042,0.0007364878342845937,-0.004656608784165085,0.4400468445812463,1.3586162405020186,0.0
2002-10-22 16:00:00,0.005277866189403735,-0.0010708387482152304,0.0,-0.0008591996948669189,0.0008719240479803255,0.44208069476869,1.3646486983806287,0.0
2002-10-23 09:30:00,-0.008378628015259793,0.0028582795826561647,0.005144670019943343,0.0012292876082056203,0.0001946623063569966,0.44235441615674925,1.3648019017848094,0.0
2002-10-23 16:00:00,0.016109046393231186,-0.000712565346053351,0.0,-0.0004908098159509544,0.0061410447347388175,0.4417556848600743,1.3686016202543743,0.0
2002-10-24 09:30:00,0.0060976792823388415,-0.0010694131931106021,-0.007037603163109196,0.000613876034011307,0.0012097804708161167,0.43700520276236143,1.3605004218343741,0.0
2002-10-24 16:00:00,-0.026336077134986313,0.005829839173235873,0.0,0.0011041098980710817,-0.003527389841569733,0.4385075006729543,1.3758831559621,0.0
2002-10-25 09:30:00,-0.0016977075268964636,0.004967832966879193,0.010953716769761979,0.001347192285425347,0.006130962873318353,0.44828911781508296,1.3873305984336235,0.0
2002-10-25 16:00:00,0.022559778058721003,-0.0005884533967567274,0.0,0.0003671398894522504,0.009203835609326295,0.4436985330426476,1.3695304089290408,0.0
2002-10-28 09:30:00,0.010532403712756544,0.002355155095761674,-0.004461553758216108,0.001835497002649289,0.007709839898690295,0.4314397492953608,1.3441757135562495,0.0
2002-10-28 16:00:00,-0.016895238246950495,-0.0011749383013166526,0.0,-0.0004884723469101848,-0.008791067393744014,0.42766415798260593,1.3324780996517014,0.0
2002-10-29 09:30:00,-0.005914224917526689,0.004823516887427992,-0.0032010210927345684,0.0011004121038125092,0.004151696092764983,0.4177096859308781,1.3728831639108652,0.0
2002-10-29 16:00:00,-0.00572521316288277,0.004214481484769106,0.0,0.0010983280181027233,0.0034677062001122823,0.4315783254735064,1.4090900936188253,0.0
2002-10-30 09:30:00,0.0012420246090298903,-0.0017488838320756095,0.006422402267899585,-0.00024420791163615174,-0.0019326603881629086,0.44073009354361725,1.418080472126468,0.0
2002-10-30 16:00:00,0.008457374830852515,0.0016349410826208555,0.0,0.00012187537807895055,0.006000760741040691,0.43695190415881746,1.41001699022657,0.0
2002-10-31 09:30:00,0.0025712364761063533,-0.0013989170119003136,-0.0012762441405065328,0.00012145650579364897,-0.0008606879940250987,0.43362947736137997,1.4122724268309903,0.0
2002-10-31 16:00:00,-0.012714777483168405,0.006538201832149371,0.0,0.0015848470265127368,0.003827437983733856,0.43445280727226027,1.4302722667807746,0.0
2002-11-01 09:30:00,-0.0019205087842967261,-0.002152596928870598,0.009584853789025072,-0.0006948671653138616,-0.003972394221212615,0.4429566340666958,1.4501981641601949,0.0
2002-11-01 16:00:00,0.02173173789998284,-0.0038493058258728396,0.0,-0.000365975352373038,0.004028024885275195,0.4422178098985034,1.4501670967849778,0.0
2002-11-04 09:30:00,0.016949770074563997,-0.00527053083130713,0.004430296611144691,-0.0010981158213227982,-0.00019946546333521678,0.4388072847111476,1.4490282460483856,0.0
2002-11-04 16:00:00,-0.0072985400664964395,0.0021188935415739074,0.0,0.00012221136523438147,-0.00013811451865943132,0.44099744880479996,1.4538356789633287,0.0
2002-11-05 09:30:00,-0.003182445926579791,-0.0015261158937134311,0.003780675567559788,0.00036663373080525474,-0.0036277727120449825,0.4426483687119045,1.4540627112735398,0.0
2002-11-05 16:00:00,0.011118472528334422,-0.001176447058823582,0.0,-0.0004884723469101848,0.00320298765272691,0.4410102066068446,1.445345288930137,0.0
2002-11-06 09:30:00,0.006859216494551124,-0.0028274409424322577,0.006905359165725766,-0.0001219461929597987,-0.0010695907236598634,0.4392457064687473,1.4438752928006973,0.0
2002-11-06 16:00:00,0.006055341499069833,0.006142168384494884,0.0,0.0004887707961276355,0.011557158020839245,0.4399232634344838,1.4479043670974747,0.0
2002-11-07 09:30:00,-0.010963531381093072,0.0058707569698321915,-0.011222202956996608,0.0002438405357401141,0.003476574965365382,0.44094572831754747,1.4156432190670822,0.0
2002-11-07 16:00:00,-0.013692621615712497,0.003851563958916726,0.0,0.00024415139818900755,-0.000606064658682859,0.43638594415817256,1.3940318816880193,0.0
2002-11-08 09:30:00,-0.0025343078840075473,0.0009290213231289979,-0.005044307606255183,-0.0007318051306083317,0.00019144462022967776,0.43986805586481376,1.4060018533606642,0.0
2002-11-08 16:00:00,-0.009720501598591613,0.0015101057734976386,0.0,0.0003664549185626864,-0.0021228427864483034,0.43846956984835445,1.4166566380588363,0.0
2002-11-11 09:30:00,-0.0015614177791062334,-0.001391595772133991,-0.012040098484753514,-0.0002444417525462317,-0.002668271962170371,0.4403583878656938,1.4233217618511174,0.0
2002-11-11 16:00:00,-0.013964919808626575,0.003948943181160125,0.0,0.0012214241643548895,-0.0005389213868825654,0.4400387746231498,1.4196671251595554,0.0
2002-11-12 09:30:00,0.004532250333745269,0.00023247603027520825,0.005131171070074769,-0.00036607263068577645,0.0023195748840570156,0.4390252053551485,1.4186527108757552,0.0
2002-11-12 16:00:00,0.003383656513257005,-0.0033541638139508168,0.0,0.0006101537561593595,-0.0033921434604737297,0.4357394208828276,1.4508939515075527,0.0
2002-11-13 09:30:00,-0.007194416739437215,-0.00046502191528663417,0.0,-0.0006093654551206917,-0.004004987333403543,0.4597620232306088,1.499429842754706,0.0
2002-11-13 16:00:00,0.008265432518115956,0.0016254499579280157,0.0,0.0007322186787350748,0.006143752399909792,0.45284394299302716,1.4770072349220227,0.0
2002-11-14 09:30:00,0.011454607488116109,-0.0070711277943456,0.012125109456552208,-0.0007321955546636394,-0.005229377719153899,0.45294105219183256,1.473264235953433,0.0
2002-11-14 16:00:00,0.007327667369823487,-0.005486831403836989,0.0,-0.0017085549985708104,-0.004661957905793773,0.45384207503561486,1.4557694746187133,0.0
2002-11-15 09:30:00,-0.008045386924376619,-0.0034037774855983916,0.003783743010321583,3.1779731002323786e-07,-0.00851312945356785,0.4517715570478311,1.4332465903928853,0.0
2002-11-15 16:00:00,0.01555557777777783,0.004122473401119597,0.0,0.0004889119625093308,0.01265695713412028,0.4423523413015222,1.4010789935609247,0.0
2002-11-18 09:30:00,0.008205093804977581,-0.0014082631699008363,-0.005025584830853136,-0.0004886730444121357,0.001622573653000589,0.428941278307338,1.3469994904941582,0.0
