datetime,VBINX_r,SPY_r,IWM_r,QQQ_r,GLD_r,TLT_r,SHY_r,Backtest_r,SPY_x,IWM_x,QQQ_x,GLD_x,TLT_x,SHY_x,Backtest_x,SPY_l,IWM_l,QQQ_l,GLD_l,TLT_l
2000-12-08 09:30:00,0.002073754,-0.005472067,-0.006576714,-0.008038237,-0.005907703,-0.002577959,2.90E-07,-0.005714536,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-08 16:00:00,-1.11E-16,0.009057051,-0.001036963,0.014180729,0.000685691,-0.00404541,-0.000122513,0.00376822,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-09 09:30:00,2.22E-16,-0.002432583,-0.001836544,-0.00524348,-0.009365007,0.003609931,0.000244779,-0.003053537,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-09 16:00:00,-1.11E-16,0.00344773,0.00951919,0.002259036,0.001614019,-0.001124216,-0.000122511,0.003143152,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-12 09:30:00,0.005689839,0.003603153,0.005150456,0.007513157,0.00391349,-0.000337156,-0.000490756,0.00396862,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-12 16:00:00,0,0.005093529,0.00575486,0.001242829,0.006879133,0.002476931,-0.000245049,0.004289456,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-13 09:30:00,0.003086668,-0.001578266,-0.000940486,1.08E-07,-0.003416124,-0.003369585,0.000122923,-0.001860871,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-13 16:00:00,0,0.005075728,0.006354966,0.004965268,-0.00479888,0.00732478,0.000122589,0.003784373,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-14 09:30:00,0.002564333,-0.000745337,0.00031171,0.000246758,0.012629139,0.006264699,0.000612973,0.003741394,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-14 16:00:00,0,0.001491301,0.008027418,-0.003951593,-0.00249424,0.002779322,0.000367397,0.001170442,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-15 09:30:00,-0.003069151,-0.001323251,-0.000695737,0.000247842,0,-0.003436837,-0.000611941,-0.001041597,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-15 16:00:00,2.22E-16,0.000745502,-0.007117973,-0.009667799,-0.007047101,-0.011347158,-0.000490028,-0.006886906,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-16 09:30:00,-0.003591402,-0.006503668,-0.002960996,0.001743455,0.005723443,-0.004388814,-0.000857372,-0.001277316,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-16 16:00:00,0,-0.000167395,-0.001094162,-0.004288547,0.005918484,0.003051503,0.000490689,0.000683977,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-19 09:30:00,-0.000515024,0.002595512,0.002190801,0.002533592,0.003168206,0.001352525,0.000367803,0.002368127,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-19 16:00:00,0,-0.002338196,-0.003356952,-0.009350493,0.000225536,0.000450107,-0.000367668,-0.002874,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-20 09:30:00,0.006237072,0.001088092,0.001879925,0.004846938,-0.004736107,0.001687328,-0.000123835,0.000953235,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-20 16:00:00,2.22E-16,0.00660536,0.008678593,0.0073623,0.002039429,0.001347429,0.000245212,0.005206622,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-21 09:30:00,0.002066212,-8.32E-05,7.74E-05,-0.003528166,-0.000452284,0.00033609,2.22E-16,-0.000730025,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-21 16:00:00,0,0.002492133,0.001860099,0.004805235,-0.004072421,-0.003699159,-1.11E-16,0.000277177,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-22 09:30:00,0.000515117,0.001574604,0.002335969,-0.003019716,0.003407497,-0.001574878,0.000735911,0.000544695,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-22 16:00:00,0,-0.000827385,0.000232273,0.003786847,0.002264025,-0.001690354,-0.000979958,0.000753081,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-26 09:30:00,-0.003606409,0.00356019,0.006347955,0.005532656,0.000451796,-0.00293454,-0.000123131,0.002591612,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-26 16:00:00,-1.11E-16,-0.005610561,-0.012692262,-0.009754877,0.004289885,-0.004868108,-0.000490569,-0.005727185,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-27 09:30:00,0.00517065,0.00099581,0.000857076,0.002020932,-0.001348966,-0.000455697,0.000122581,0.000413831,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-27 16:00:00,0,0.004476136,0.012377378,0.007562466,-0.001125597,-0.000341441,0.000245332,0.004589788,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-28 09:30:00,-0.000514279,-0.000825545,-0.000230678,-0.001251153,-0.010142011,0.000455966,0.000369352,-0.002398684,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-28 16:00:00,0,0.002312512,0.000153746,0.00250506,-0.005919809,-0.001479515,-0.000490449,-0.000485601,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-29 09:30:00,0.00154415,0.000329882,0.001307282,0.001249271,-0.003664682,0.000683352,-7.76E-07,-1.8979E-05,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-29 16:00:00,2.22E-16,-0.002224094,-0.004838369,-0.001996456,0.007586253,0.006036435,0.000368081,0.000912754,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-30 09:30:00,-0.000514268,0.001403801,0.002315066,0.001000261,0.000456217,0.004261524,0.000663047,0.001887374,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2000-12-30 16:00:00,0,-0.00354493,-0.002925808,-0.002747964,-0.001140228,0.00203689,-0.000245513,-0.001664408,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-02 09:30:00,-0.005655422,0.005708479,0.00532867,0.004258317,-0.018721439,-0.004177967,-0.000735788,-0.001520788,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-02 16:00:00,-1.11E-16,-0.010365211,-0.018204178,-0.014716887,0.000930665,0.006350624,0.000860256,-0.007200997,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
2001-01-03 09:30:00,-0.008790037,0.001329948,0.001955547,0.004303823,-0.005113924,-0.000225614,-0.000368997,0.000449956,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1
