,SPY_r,IWM_r,QQQ_r,GLD_r,TLT_r,VBINX,SHY_r,Backtest_r,SPY_x,IWM_x,QQQ_x,GLD_x,TLT_x,SHY_x,Backtest_x
2004-11-18 16:00:00,0.0017716949445008012,-0.0017722087965199584,0.007952821959979595,-0.00112534323655189,0.0047430602571520986,0.0,0.00024484701021476596,0.0023140050257121295,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-19 09:30:00,-0.000336993346378045,-0.0003226893166436984,-0.0012721394405307285,0.00247861643806635,-0.0007872596386939712,-0.007804091801298485,-0.0003672126040562551,-4.8093060836018625e-05,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-19 16:00:00,-0.010783479632269888,-0.010332580082863752,-0.014271202126850069,0.006518250999404396,-0.0071990999505264774,0.0,-0.0012242134600510823,-0.007213622158621158,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-22 09:30:00,-0.002129122410149842,-0.0036703026631117464,-0.0018093799085183715,-0.0006699196219275283,0.0010199845719927048,0.0041951278081620025,0.00036765251965920065,-0.0014517480063429569,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-22 16:00:00,0.006913075137203517,0.014326647329895081,0.011395959300803948,0.0044692960893855105,0.0041879231281929385,0.0,-0.00012254348973739226,0.0082585801970962,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-23 09:30:00,-0.0004237149469243917,0.0002419023133100051,-0.0010250206403522588,-0.0015572858385476396,-0.0024796953126041688,0.0005218308982992692,-0.00012284010377572319,-0.0010487628850236908,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-23 16:00:00,0.0019503434240650819,0.005971096586782965,-0.0005125865425577025,-0.002896635407829029,0.0037288361581924168,0.0,0.0,0.0016482108437307465,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-24 09:30:00,0.0009307855595259706,0.0010429848612922843,0.0025650134097832122,0.004022346368715013,0.0009006191399161256,0.0031315485932263964,-0.0001221788395460166,0.0018923498678465212,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-24 16:00:00,0.0014374313377212289,0.004967900481798182,0.0061397288309028575,0.0026707990206988885,-0.0008998087549291212,0.0,-1.1102230246251565e-16,0.0028632101832384077,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-26 09:30:00,0.0005912978335067542,0.0018335571859766642,0.0010172043096385863,0.0044395339498231046,-0.006078450672608038,0.0,-0.0009809323444168738,0.0003606285212674144,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-26 16:00:00,-0.0013501307678654983,-0.0011938081783715582,-0.0040640082312422,0.0008839999999998849,-0.00045306376199960585,0.0,2.220446049250313e-16,-0.0012354021878957955,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-29 09:30:00,0.0037178956625618653,0.007330649596017036,0.006375720746298663,-0.00419525272256005,-0.008839224095049336,-0.0020810055865920773,-0.00012258285521593582,0.0008779578374536357,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-29 16:00:00,-0.008249877866403854,-0.0037177820553359053,-0.006588900319029478,0.006651973687449075,-0.001829232858931995,0.0,0.00024536196319013825,-0.0027467638824504315,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-30 09:30:00,0.0016126855508589166,0.004049278200651152,0.0025510356352285157,-0.000660859001724301,-0.004237746440022283,-0.002606738240949036,-0.00012233433334851718,0.0006628787889984,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-11-30 16:00:00,-0.00093221186440684,0.0033211924719278585,-0.004580152788299041,-0.005510249184708993,2.220446049250313e-16,0.0,0.000368040722168006,-0.0015402842730973586,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-01 09:30:00,0.0022901438430378285,-0.0005514582081250774,0.003834315214970241,0.0035460993693727794,0.0013283180355938562,0.008886543955094695,0.0015358095151560835,0.0020894836509699256,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-01 16:00:00,0.009055509172122278,0.009857266932533193,0.016552024446142122,0.0022085247837573263,-0.0028835064434892255,-1.1102230246251565e-16,-0.0008586850168801341,0.00695796377821314,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-02 09:30:00,-0.0010902490474113957,-0.00039077376550555876,-0.0025051585473077065,0.0037460995207998504,-0.003239079173693815,-0.0010366030335147158,-0.0006146674455085321,-0.0006958322026237252,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-02 16:00:00,0.0019311839115228047,-0.0010155144605350497,0.006278252134605866,-0.013172294471400559,-0.0008123477036634519,-1.1102230246251565e-16,0.00024565109961516285,-0.001358144117894078,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-03 09:30:00,-0.00016770364520035663,0.0002351116051140245,0.006988045226880901,0.002002224649561235,0.012195713625883897,0.0031125092663319975,0.0020883859502836,0.004250678292447941,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-03 16:00:00,-0.0005028748722297749,-0.00211089040384993,-0.0054522183619438724,0.012433325656453498,0.003327596022315582,2.220446049250313e-16,0.00012258855852853578,0.0015389876081491004,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-06 09:30:00,-0.0003354777731863212,0.0026633236392124005,-0.00024919839847137304,-0.004605241430054252,0.000571714112976629,-1.1102230246251565e-16,-0.0002449820431257299,-0.00039097596990458335,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-06 16:00:00,2.220446049250313e-16,-0.00734492866557479,0.0037388086674678966,-0.004846904711322209,0.0028574694903982234,2.220446049250313e-16,0.0003677249235662927,-0.0011191110438061314,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-07 09:30:00,0.002348754122218466,0.003384882352753138,0.001986904340504081,0.002878038648573833,-4.612533734960067e-07,-0.007238661634620724,-0.00024512927036957066,0.0021196236421352046,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-07 16:00:00,-0.011632772811662528,-0.020867686187060808,-0.019082925357270186,-0.00419421642812845,0.0012537041544038452,0.0,0.00024518937346185155,-0.010904779325943626,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-08 09:30:00,0.0009316664715333101,0.0015223722968662479,0.000505032994496224,-0.02904016783329255,0.006375041413950955,0.004687420294017253,-0.0007348762247249008,-0.0039412109312891635,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-08 16:00:00,0.0049065392513878425,0.00959996800000007,0.005303106328439666,0.004794497826358546,0.009161825170825644,-1.1102230246251565e-16,0.0011035683223703519,0.0067531873154023534,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-09 09:30:00,-0.005472066738823611,-0.006576713548871571,-0.00803823745775134,-0.005907703063290359,-0.0025779585412242234,0.002073753690505331,2.9040316351647277e-07,-0.005714535869992221,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-09 16:00:00,0.009057051033156016,-0.0010369625741889488,0.014180728580363455,0.0006856914285713334,-0.004045409687502333,-1.1102230246251565e-16,-0.00012251347528802192,0.003768219756079904,0.2,0.2,0.2,0.2,0.2,0.0,1.0
2004-12-10 09:30:00,-0.0024325831688187805,-0.001836543783323985,-0.0052434801148404375,-0.00936500706635457,0.0036099309797301693,2.220446049250313e-16,0.0002447787495081233,-0.003053536630721521,0.2,0.2,0.2,0.2,0.2,0.0,1.0
