Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,9.43,9.43,9.43,9.43,2.041974,0
1990-01-03,9.41,9.41,9.41,9.41,2.037643,0
1990-01-04,9.42,9.42,9.42,9.42,2.039809,0
1990-01-05,9.41,9.41,9.41,9.41,2.037643,0
1990-01-08,9.4,9.4,9.4,9.4,2.035478,0
1990-01-09,9.4,9.4,9.4,9.4,2.035478,0
1990-01-10,9.4,9.4,9.4,9.4,2.035478,0
1990-01-11,9.4,9.4,9.4,9.4,2.035478,0
1990-01-12,9.38,9.38,9.38,9.38,2.0311470000000003,0
1990-01-15,9.37,9.37,9.37,9.37,2.035929,0
1990-01-16,9.34,9.34,9.34,9.34,2.02941,0
1990-01-17,9.34,9.34,9.34,9.34,2.02941,0
1990-01-18,9.29,9.29,9.29,9.29,2.018544,0
1990-01-19,9.3,9.3,9.3,9.3,2.020717,0
1990-01-22,9.3,9.3,9.3,9.3,2.020717,0
1990-01-23,9.3,9.3,9.3,9.3,2.020717,0
1990-01-24,9.27,9.27,9.27,9.27,2.014199,0
1990-01-25,9.25,9.25,9.25,9.25,2.0098540000000003,0
1990-01-26,9.22,9.22,9.22,9.22,2.003335,0
1990-01-29,9.22,9.22,9.22,9.22,2.003335,0
1990-01-30,9.2,9.2,9.2,9.2,1.9989880000000002,0
1990-01-31,9.23,9.23,9.23,9.23,2.005507,0
1990-02-01,9.24,9.24,9.24,9.24,2.007679,0
1990-02-02,9.23,9.23,9.23,9.23,2.005507,0
1990-02-05,9.21,9.21,9.21,9.21,2.001163,0
1990-02-06,9.2,9.2,9.2,9.2,1.9989880000000002,0
1990-02-07,9.2,9.2,9.2,9.2,1.9989880000000002,0
1990-02-08,9.21,9.21,9.21,9.21,2.001163,0
1990-02-09,9.26,9.26,9.26,9.26,2.012028,0
1990-02-12,9.25,9.25,9.25,9.25,2.0098540000000003,0
1990-02-13,9.25,9.25,9.25,9.25,2.0098540000000003,0
1990-02-14,9.25,9.25,9.25,9.25,2.0098540000000003,0
1990-02-15,9.23,9.23,9.23,9.23,2.020579,0
1990-02-16,9.23,9.23,9.23,9.23,2.020579,0
1990-02-20,9.16,9.16,9.16,9.16,2.005257,0
1990-02-21,9.15,9.15,9.15,9.15,2.0030669999999997,0
1990-02-22,9.18,9.18,9.18,9.18,2.009634,0
1990-02-23,9.19,9.19,9.19,9.19,2.0118259999999997,0
1990-02-26,9.21,9.21,9.21,9.21,2.0162009999999997,0
1990-02-27,9.22,9.22,9.22,9.22,2.018391,0
1990-02-28,9.2,9.2,9.2,9.2,2.020588,0
1990-03-01,9.17,9.17,9.17,9.17,2.013999,0
1990-03-02,9.18,9.18,9.18,9.18,2.016196,0
1990-03-05,9.15,9.15,9.15,9.15,2.0096060000000002,0
1990-03-06,9.15,9.15,9.15,9.15,2.0096060000000002,0
1990-03-07,9.16,9.16,9.16,9.16,2.011803,0
1990-03-08,9.16,9.16,9.16,9.16,2.011803,0
1990-03-09,9.13,9.13,9.13,9.13,2.005213,0
1990-03-12,9.14,9.14,9.14,9.14,2.0074099999999997,0
1990-03-13,9.11,9.11,9.11,9.11,2.000819,0
1990-03-14,9.13,9.13,9.13,9.13,2.005213,0
1990-03-15,9.13,9.13,9.13,9.13,2.005213,0
1990-03-16,9.16,9.16,9.16,9.16,2.011803,0
1990-03-19,9.16,9.16,9.16,9.16,2.011803,0
1990-03-20,9.18,9.18,9.18,9.18,2.016196,0
1990-03-21,9.18,9.18,9.18,9.18,2.016196,0
1990-03-22,9.18,9.18,9.18,9.18,2.016196,0
1990-03-23,9.18,9.18,9.18,9.18,2.016196,0
1990-03-26,9.19,9.19,9.19,9.19,2.018391,0
1990-03-27,9.19,9.19,9.19,9.19,2.018391,0
1990-03-28,9.19,9.19,9.19,9.19,2.018391,0
1990-03-29,9.16,9.16,9.16,9.16,2.011803,0
1990-03-30,9.14,9.14,9.14,9.14,2.022201,0
1990-04-02,9.14,9.14,9.14,9.14,2.022201,0
1990-04-03,9.14,9.14,9.14,9.14,2.022201,0
1990-04-04,9.17,9.17,9.17,9.17,2.028838,0
1990-04-05,9.18,9.18,9.18,9.18,2.031052,0
1990-04-06,9.18,9.18,9.18,9.18,2.031052,0
1990-04-09,9.17,9.17,9.17,9.17,2.028838,0
1990-04-10,9.16,9.16,9.16,9.16,2.026628,0
1990-04-11,9.16,9.16,9.16,9.16,2.026628,0
1990-04-12,9.15,9.15,9.15,9.15,2.024414,0
1990-04-16,9.14,9.14,9.14,9.14,2.022201,0
1990-04-17,9.11,9.11,9.11,9.11,2.015563,0
1990-04-18,9.08,9.08,9.08,9.08,2.008925,0
1990-04-19,9.06,9.06,9.06,9.06,2.004502,0
1990-04-20,9.05,9.05,9.05,9.05,2.002288,0
1990-04-23,9.03,9.03,9.03,9.03,1.9978650000000002,0
1990-04-24,9.02,9.02,9.02,9.02,1.9956509999999998,0
1990-04-25,9.01,9.01,9.01,9.01,1.993439,0
1990-04-26,8.99,8.99,8.99,8.99,1.9890139999999998,0
1990-04-27,8.99,8.99,8.99,8.99,1.9890139999999998,0
1990-04-30,8.99,8.99,8.99,8.99,2.003949,0
1990-05-01,8.99,8.99,8.99,8.99,2.003949,0
1990-05-02,8.98,8.98,8.98,8.98,2.00172,0
1990-05-03,9.0,9.0,9.0,9.0,2.006177,0
1990-05-04,9.06,9.06,9.06,9.06,2.019552,0
1990-05-07,9.06,9.06,9.06,9.06,2.019552,0
1990-05-08,9.07,9.07,9.07,9.07,2.021782,0
1990-05-09,9.05,9.05,9.05,9.05,2.0173229999999998,0
1990-05-10,9.08,9.08,9.08,9.08,2.024009,0
1990-05-11,9.14,9.14,9.14,9.14,2.037385,0
1990-05-14,9.17,9.17,9.17,9.17,2.0440720000000003,0
1990-05-15,9.16,9.16,9.16,9.16,2.041843,0
1990-05-16,9.15,9.15,9.15,9.15,2.039616,0
1990-05-17,9.15,9.15,9.15,9.15,2.039616,0
1990-05-18,9.12,9.12,9.12,9.12,2.032927,0
1990-05-21,9.13,9.13,9.13,9.13,2.035157,0
1990-05-22,9.16,9.16,9.16,9.16,2.041843,0
1990-05-23,9.18,9.18,9.18,9.18,2.046302,0
1990-05-24,9.17,9.17,9.17,9.17,2.0440720000000003,0
1990-05-25,9.14,9.14,9.14,9.14,2.037385,0
1990-05-29,9.16,9.16,9.16,9.16,2.041843,0
1990-05-30,9.17,9.17,9.17,9.17,2.0440720000000003,0
1990-05-31,9.18,9.18,9.18,9.18,2.061363,0
1990-06-01,9.25,9.25,9.25,9.25,2.077081,0
1990-06-04,9.26,9.26,9.26,9.26,2.079326,0
1990-06-05,9.25,9.25,9.25,9.25,2.077081,0
1990-06-06,9.24,9.24,9.24,9.24,2.074836,0
1990-06-07,9.25,9.25,9.25,9.25,2.077081,0
1990-06-08,9.25,9.25,9.25,9.25,2.077081,0
1990-06-11,9.24,9.24,9.24,9.24,2.074836,0
1990-06-12,9.24,9.24,9.24,9.24,2.074836,0
1990-06-13,9.27,9.27,9.27,9.27,2.081573,0
1990-06-14,9.29,9.29,9.29,9.29,2.086064,0
1990-06-15,9.25,9.25,9.25,9.25,2.077081,0
1990-06-18,9.23,9.23,9.23,9.23,2.07259,0
1990-06-19,9.23,9.23,9.23,9.23,2.07259,0
1990-06-20,9.21,9.21,9.21,9.21,2.0681,0
1990-06-21,9.22,9.22,9.22,9.22,2.070345,0
1990-06-22,9.22,9.22,9.22,9.22,2.070345,0
1990-06-25,9.2,9.2,9.2,9.2,2.0658529999999997,0
1990-06-26,9.21,9.21,9.21,9.21,2.0681,0
1990-06-27,9.22,9.22,9.22,9.22,2.070345,0
1990-06-28,9.24,9.24,9.24,9.24,2.074836,0
1990-06-29,9.26,9.26,9.26,9.26,2.0945139999999998,0
1990-07-02,9.26,9.26,9.26,9.26,2.0945139999999998,0
1990-07-03,9.27,9.27,9.27,9.27,2.0967759999999998,0
1990-07-05,9.27,9.27,9.27,9.27,2.0967759999999998,0
1990-07-06,9.23,9.23,9.23,9.23,2.087728,0
1990-07-09,9.21,9.21,9.21,9.21,2.0832040000000003,0
1990-07-10,9.2,9.2,9.2,9.2,2.080942,0
1990-07-11,9.21,9.21,9.21,9.21,2.0832040000000003,0
1990-07-12,9.24,9.24,9.24,9.24,2.089991,0
1990-07-13,9.25,9.25,9.25,9.25,2.0922520000000002,0
1990-07-16,9.26,9.26,9.26,9.26,2.0945139999999998,0
1990-07-17,9.27,9.27,9.27,9.27,2.0967759999999998,0
1990-07-18,9.24,9.24,9.24,9.24,2.089991,0
1990-07-19,9.24,9.24,9.24,9.24,2.089991,0
1990-07-20,9.25,9.25,9.25,9.25,2.0922520000000002,0
1990-07-23,9.26,9.26,9.26,9.26,2.0945139999999998,0
1990-07-24,9.23,9.23,9.23,9.23,2.087728,0
1990-07-25,9.25,9.25,9.25,9.25,2.0922520000000002,0
1990-07-26,9.25,9.25,9.25,9.25,2.0922520000000002,0
1990-07-27,9.28,9.28,9.28,9.28,2.099038,0
1990-07-30,9.31,9.31,9.31,9.31,2.105824,0
1990-07-31,9.31,9.31,9.31,9.31,2.1210869999999997,0
1990-08-01,9.34,9.34,9.34,9.34,2.1279220000000003,0
1990-08-02,9.3,9.3,9.3,9.3,2.118808,0
1990-08-03,9.28,9.28,9.28,9.28,2.114252,0
1990-08-06,9.2,9.2,9.2,9.2,2.096027,0
1990-08-07,9.17,9.17,9.17,9.17,2.0891900000000003,0
1990-08-08,9.16,9.16,9.16,9.16,2.0869150000000003,0
1990-08-09,9.19,9.19,9.19,9.19,2.09375,0
1990-08-10,9.18,9.18,9.18,9.18,2.091471,0
