price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,lengthWidth,culet
618,0.31,1,6,3,1,0,7,60.1,56,1.34,0
620,0.3,1,6,4,1,0,8,60.1,60,1.35,0
621,0.3,1,6,5,2,1,7,60.7,62,1.31,0
623,0.32,1,6,4,1,0,7,63.1,57,1.34,0
623,0.43,1,3,1,1,0,8,60,58,1.4,0
626,0.3,1,6,5,1,0,8,63.4,60,1.38,0
627,0.3,1,6,3,2,1,7,63.1,61,1.38,0
627,0.3,1,6,4,2,0,8,60.6,58,1.4,0
628,0.3,1,6,3,1,1,7,60.9,60,1.34,0
628,0.31,1,6,5,1,1,5,61.5,59,1.37,0
630,0.31,1,6,3,2,0,8,61.3,62,1.37,0
632,0.3,1,6,3,1,1,8,61.8,60,1.38,0
633,0.35,1,5,4,2,1,8,59.6,60,1.39,0
633,0.38,0,6,3,0,1,8,67.3,55,1.41,0
634,0.33,1,5,3,1,0,8,61.2,58,1.4,0
634,0.56,0,0,1,1,1,5,65.2,59,1.46,0
635,0.32,1,6,3,2,1,8,60.3,61,1.4,0
637,0.34,1,5,3,1,0,8,62.3,59,1.34,0
639,0.4,1,4,3,1,0,3,60.2,61,1.39,0
640,0.32,1,6,0,1,1,8,58.7,63,1.35,0
642,0.3,1,4,3,1,1,8,57.5,62,1.44,0
642,0.4,1,5,3,1,0,3,62.2,58,1.36,0
643,0.32,1,6,3,1,0,8,62.4,57,1.38,0
647,0.31,1,6,3,1,1,8,61.6,57,1.4,0
647,0.46,1,5,0,1,0,8,59.3,58,1.41,0
647,0.5,1,0,1,1,0,5,61.3,52,1.42,0
649,0.33,1,6,4,1,0,7,60.1,60,1.39,0
651,0.4,1,6,1,2,0,3,60.5,58,1.38,0
651,0.4,1,6,0,2,0,8,60,59,1.36,0
652,0.32,1,6,3,2,0,8,60.2,58,1.38,0
652,0.32,1,5,3,1,1,8,60.3,56,1.4,0
652,0.4,1,2,2,1,0,7,63.5,60,1.35,0
654,0.34,1,5,4,1,0,8,62.8,58,1.36,0
661,0.31,0,5,2,1,0,7,65.4,58,1.37,0
667,0.34,0,6,4,1,1,5,59.5,66,1.35,0
667,0.37,1,6,3,1,1,8,62.2,60,1.4,0
668,0.42,1,5,0,2,1,7,59.5,55,1.42,0
669,0.31,1,6,5,1,0,8,62.8,62,1.36,0
669,0.4,1,2,5,2,1,8,62.2,64,1.39,0
670,0.3,1,6,5,1,0,8,63,60,1.35,0
672,0.45,1,0,2,0,0,7,58.9,63,1.49,0
675,0.33,1,6,4,1,0,8,60.9,58,1.34,0
675,0.4,1,3,1,2,1,8,61.3,55,1.39,0
675,0.45,1,5,1,1,0,8,59.5,61,1.45,0
676,0.32,1,6,3,1,1,8,62.3,60,1.4,0
678,0.33,1,6,3,2,0,8,62.7,60,1.35,0
678,0.42,1,6,0,1,1,8,57.8,60,1.4,0
679,0.33,1,6,4,1,0,8,62.4,58,1.36,0
680,0.51,1,0,2,1,1,8,62.9,61,1.39,0
681,0.33,1,6,3,1,0,8,62,55,1.42,0
681,0.5,0,1,0,2,1,7,65.1,58,1.38,0
685,0.33,1,6,5,1,0,7,62.4,61,1.34,0
685,0.5,1,0,4,2,1,3,63.9,62,1.33,0
686,0.35,1,5,4,2,1,7,62.2,59,1.35,0
687,0.41,1,6,1,2,0,5,58.6,60,1.38,0
688,0.4,1,6,1,0,0,8,63.3,59,1.36,0
689,0.5,1,0,1,2,0,8,64.8,59,1.34,0
690,0.31,1,6,5,1,0,8,60.9,58,1.34,0
696,0.4,1,4,3,2,1,7,58.4,62,1.4,0
697,0.4,1,5,1,1,0,8,60.5,61,1.37,0
698,0.4,1,5,3,1,0,8,60.3,58,1.41,0
698,0.4,1,5,3,1,0,8,61.6,60,1.36,0
701,0.42,1,2,2,2,0,8,62.4,56,1.35,0
702,0.5,1,1,2,1,1,5,59.7,58,1.35,0
703,0.5,1,0,1,1,0,5,61.2,55,1.29,0
704,0.54,0,0,4,1,1,7,56.8,63,1.43,0
706,0.53,1,0,2,2,1,8,58.6,61,1.43,0
712,0.51,0,0,5,2,0,7,65.8,57,1.4,0
713,0.52,1,0,5,2,1,5,63.8,58,1.34,0
715,0.5,1,0,1,2,0,3,63.1,59,1.36,0
716,0.51,1,2,1,1,1,5,60.8,59,1.36,0
720,0.5,1,0,0,2,0,8,59,61,1.4,0
723,0.41,1,2,2,2,0,8,63.4,59,1.36,0
723,0.5,1,0,5,2,0,8,62.9,55,1.36,0
724,0.4,1,4,2,0,0,8,63.5,62,1.41,1
725,0.5,1,0,1,1,0,5,63.3,60,1.34,0
726,0.38,0,5,0,1,0,7,54.4,59,1.46,0
727,0.5,1,1,2,2,0,5,59.4,64,1.44,0
727,0.51,1,0,3,2,1,7,57.6,59,1.34,0
729,0.33,1,6,5,2,1,7,60.6,63,1.38,0
729,0.4,0,5,4,1,0,7,65.4,63,1.37,0
729,0.46,1,6,1,2,0,7,59.2,60,1.33,0
730,0.4,0,3,5,1,1,3,66.5,58,1.39,0
731,0.5,1,0,2,1,1,7,61.6,60,1.32,0
733,0.4,1,4,3,0,0,8,59.2,61,1.37,0
733,0.55,1,3,0,2,0,5,60.3,63,1.43,0
734,0.4,1,4,2,1,0,8,59.6,58,1.43,1
734,0.4,1,4,2,1,0,8,61.6,60,1.4,0
735,0.33,1,6,5,1,0,8,63.9,60,1.41,0
737,0.33,1,6,5,1,0,8,59.9,60,1.4,0
739,0.4,1,4,2,1,0,8,62.1,60,1.34,0
740,0.4,1,3,4,2,0,8,62.5,58,1.37,0
