price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,length_width,culet,delivery
565,0.32,VeryGood,E,VS1,VeryGood,Good,None,63.2,59.0,1.37,None,Dec7
566,0.30,VeryGood,E,VVS1,Excellent,VeryGood,None,63.6,56.0,1.37,None,Dec4
566,0.30,VeryGood,F,SI1,VeryGood,Good,None,57.9,59.0,1.43,None,Dec7
567,0.35,VeryGood,E,VS2,Excellent,Good,None,62.0,58.0,1.37,None,Dec7
567,0.40,VeryGood,G,SI2,Excellent,VeryGood,None,57.3,62.0,1.37,None,Dec7
570,0.30,VeryGood,D,VVS1,Good,Good,Faint,64.9,61.0,1.43,None,Dec7
571,0.33,VeryGood,E,VS2,VeryGood,VeryGood,None,59.9,57.0,1.38,None,Dec7
571,0.35,VeryGood,D,VS2,Excellent,Good,Faint,61.4,61.0,1.37,None,Dec7
574,0.31,VeryGood,D,VS2,VeryGood,Good,None,60.4,62.0,1.39,None,Dec7
574,0.36,Good,E,VS2,VeryGood,VeryGood,None,67.5,57.0,1.36,None,Dec4
576,0.31,VeryGood,E,VS1,Excellent,Good,Faint,61.7,59.0,1.36,None,Dec7
577,0.36,VeryGood,E,VVS2,VeryGood,VeryGood,Faint,63.5,59.0,1.39,None,Dec7
579,0.33,VeryGood,F,VVS1,Excellent,VeryGood,None,62.4,59.0,1.36,None,Dec4
581,0.32,VeryGood,F,VVS1,VeryGood,VeryGood,None,61.2,60.0,1.38,None,Dec7
582,0.30,VeryGood,D,VS1,VeryGood,Good,Faint,58.4,60.0,1.35,None,Dec7
582,0.30,VeryGood,D,VS1,VeryGood,Good,Faint,63.4,61.0,1.39,None,Dec7
583,0.37,VeryGood,G,VVS2,Excellent,VeryGood,None,60.5,60.0,1.39,None,Dec7
586,0.31,VeryGood,D,VVS1,VeryGood,Good,Medium,63.2,59.0,1.34,None,Dec7
590,0.30,VeryGood,D,VVS2,VeryGood,Good,Faint,60.3,59.0,1.36,None,Dec7
593,0.30,VeryGood,D,VVS2,VeryGood,Good,None,63.1,59.0,1.35,None,Dec7
