126,89.5857
102,43.5444
82.2,44.7974
69.6,29.0889
60,23.5554
52.8,19.0668
45.6,15.8383
39.6,15.5733
34.2,14.0499
28.8,13.418
24,12.9862
19.8,13.0409
15,11.0687
11.4,12.0162
7.2,10.0559
6,11.3695
7.2,10.4232
6,11.397
6,10.587
114,47.1529
97.2,35.2523
84,30.5796
70.2,24.9658
61.2,23.5181
52.8,17.6214
47.4,17.7246
41.4,14.7838
36,15.3228
30,13.1948
25.8,13.5332
21,11.8637
16.8,12.6182
12,10.9404
7.2,11.6262
6,10.9093
84,33.2655
69,27.1595
60,25.3328
51,18.5057
43.2,17.7657
36.6,15.052
31.8,15.0065
25.2,12.8448
19.8,13.2412
15,11.2247
10.8,11.7204
7.2,10.3923
6,11.2836
8.4,11.0041
6,12.7101
144,55.0279
120,65.1806
99,48.5217
81,36.75
66,28.8006
57,23.476
49.2,18.2094
45,17.2638
39,14.0337
34.2,14.2225
28.8,12.1499
25.2,12.9115
21,10.3718
17.4,11.6432
13.8,10.0322
10.8,10.6723
7.2,9.09857
6,10.8465
52.2,19.1023
46.2,18.1226
40.2,14.7136
35.4,14.4821
30.6,12.4321
26.4,12.9276
22.2,10.6715
18,11.5007
14.4,9.82126
10.8,10.7549
7.2,9.03516
6,10.3888
37.2,13.484
31.8,13.7966
27,11.8056
22.8,12.6894
18,10.8039
14.4,11.6537
10.2,9.93649
7.2,11.0311
6,9.31531
25.2,13.6878
20.4,10.9909
16.2,12.4927
12,10.6198
7.2,11.6802
6,10.8907
60,25.6515
51.6,17.6507
46.2,18.049
40.2,15.1341
34.2,15.8529
28.2,13.7836
22.8,14.2711
17.4,12.4034
12,13.1288
7.2,11.8232
12.6,13.2491
7.8,11.3592
6,12.3204
18,13.6805
13.8,13.9868
8.4,11.7183
6,13.6107
102.6,40.9439
87,34.8313
76.2,28.4625
66,23.2289
57,24.0953
49.8,19.5572
43.2,16.5545
37.8,16.5232
31.2,14.187
26.4,14.8526
21,12.3492
16.8,13.5395
12,11.4979
7.8,12.615
6,10.7634
9,12.9166
6,11.7968
129,63.033
106.2,43.3616
90.6,37.3845
76.8,29.8964
66,27.4761
57,21.1458
50.4,19.4935
43.2,16.5878
38.4,16.6351
32.4,13.6541
27,15.2311
21.6,12.6524
16.8,13.5484
12.6,11.5822
8.4,12.4223
6,11.0284
58.2,23.9517
50.4,18.8352
45.6,18.6815
37.8,15.6393
32.4,16.147
26.4,12.9508
21.6,13.581
16.2,11.5821
12.6,12.6138
7.8,10.5302
6,11.6208
12.6,11.0706
7.8,12.9927
6,10.77
40.2,16.6618
33,14.1388
28.2,14.9587
22.8,12.6493
18,13.5507
12.6,11.5808
8.4,12.7833
6,10.6786
30.6,16.8266
24.6,14.0069
19.8,14.894
14.4,12.6913
9,13.4911
6,12.3194
127.2,63.1796
102,44.0479
87,35.1009
72,27.6487
61.8,25.6978
54,20.2304
45,17.0574
39,14.4
34.2,15.4874
28.2,12.8322
23.4,13.887
18.6,11.6901
15,12.5838
10.8,10.5613
7.2,11.5344
6,10.3232
54,20.681
47.4,16.7513
42,17.4881
36.6,14.8953
31.2,15.3457
25.8,12.9037
21,13.9704
15.6,11.6233
12,12.9116
7.8,10.7658
6,12.3502
51,17.7954
44.4,18.3537
38.4,14.3775
33,16.3198
27.6,13.8074
22.2,14.5859
17.4,12.5499
12.6,13.1411
7.8,11.1319
6,12.7146
