round,carat,cut,color,clarity,depth,table,length-width,date,price
0,2.10,2,2,3,67.0,67.0,1.03,22,21457
0,2.10,2,3,2,64.5,66.0,1.04,22,21075
0,2.10,2,3,2,67.8,63.0,1.01,23,19779
0,2.10,2,4,1,68.2,63.0,1.01,22,22500
0,2.11,2,3,2,65.8,60.0,1.01,22,21207
0,2.11,2,3,5,69.7,60.0,1.02,19,27018
0,2.11,2,3,5,69.7,60.0,1.02,22,26506
0,2.12,3,3,2,66.0,60.0,1.04,21,23049
0,2.12,4,3,2,66.0,60.0,1.04,16,23639
0,2.14,2,3,4,65.4,61.0,1.02,20,22916
0,2.15,2,2,6,66.4,58.0,1.05,19,23318
0,2.15,2,2,6,66.4,58.0,1.05,22,22807
0,2.16,2,0,6,66.4,63.0,1.00,22,14930
0,2.21,0,2,6,70.2,53.0,1.01,19,23332
0,2.21,0,2,6,70.2,53.0,1.01,22,22818
0,2.21,2,2,1,69.4,66.0,1.01,22,14280
0,2.22,2,3,3,68.3,61.0,1.00,18,27679
0,2.22,2,3,3,68.3,61.0,1.00,23,27052
0,2.22,2,4,5,67.8,57.0,1.04,22,20884
0,2.30,2,4,3,67.8,68.0,1.02,28,27964
0,2.38,2,5,2,69.7,58.0,1.04,20,25404
0,2.38,2,5,2,69.7,58.0,1.04,22,24884
0,2.51,1,3,1,74.7,55.0,1.00,20,22691
0,2.51,1,3,1,74.7,55.0,1.00,22,22015
0,2.52,1,0,4,67.6,56.0,1.01,22,15929
0,2.60,2,2,3,69.4,68.0,1.01,19,26397
0,2.60,2,2,3,69.4,68.0,1.01,22,26397
0,2.69,2,1,1,63.8,61.0,1.01,22,17759
0,2.76,2,4,0,68.1,68.0,1.01,22,22529
0,3.00,1,1,2,61.7,75.0,1.01,18,28751
0,3.00,1,1,2,61.7,75.0,1.01,23,27818
0,3.04,1,0,3,71.8,62.0,1.00,22,23831
0,3.04,1,0,3,71.8,62.0,1.00,19,24962
0,3.19,2,0,0,68.6,64.0,1.00,22,20044
0,3.19,2,0,0,68.6,64.0,1.00,18,21736
0,3.46,2,0,2,64.0,70.0,1.01,22,28414
0,2.00,0,3,2,72.5,56.0,1.04,22,18632
0,2.00,0,4,2,68.6,69.0,1.19,20,24604
0,2.00,0,5,3,72.1,63.0,1.05,22,20018
0,2.00,1,0,3,70.5,57.0,1.04,22,10901
0,2.00,1,3,3,69.5,61.0,1.18,22,22670
0,2.00,1,4,4,69.9,58.0,1.06,20,27051
0,2.00,1,5,1,70.5,62.0,1.19,20,20550
0,2.00,2,3,2,65.3,59.0,1.12,18,25770
0,2.00,2,3,2,65.3,59.0,1.12,23,25136
0,2.00,2,3,3,68.0,63.0,1.17,22,23221
0,2.00,2,3,4,66.0,59.0,1.19,19,23406
0,2.00,2,3,4,66.0,59.0,1.19,22,22910
0,2.00,2,3,5,67.7,61.0,1.11,18,23759
0,2.00,2,3,5,67.7,61.0,1.11,22,23759
0,2.00,2,4,2,65.0,64.0,1.10,18,23373
0,2.00,2,4,2,65.0,64.0,1.10,22,23373
0,2.00,2,6,2,68.8,62.0,1.15,22,27704
0,2.01,0,1,1,67.4,68.0,1.17,28,13495
0,2.01,0,1,2,72.5,58.0,1.31,23,15913
0,2.01,0,2,3,65.8,67.0,1.11,22,18581
0,2.01,0,3,2,71.3,58.0,1.20,22,18949
0,2.01,0,3,3,72.0,60.0,1.03,22,18912
0,2.01,0,3,4,72.0,62.0,1.04,22,20961
0,2.01,0,3,4,72.0,62.0,1.04,23,21415
0,2.01,0,4,1,72.9,59.0,1.00,23,16236
0,2.01,0,4,2,72.3,57.0,1.03,23,20004
0,2.01,0,4,2,72.7,52.0,1.11,23,19185
0,2.01,0,4,3,72.1,57.0,1.07,23,21561
0,2.01,0,4,4,70.6,68.0,1.01,19,25136
0,2.01,0,4,4,70.6,68.0,1.01,22,25712
0,2.01,0,5,1,72.6,62.0,1.01,23,17463
0,2.01,0,5,2,69.0,68.0,1.19,19,23326
0,2.01,0,5,2,69.0,68.0,1.19,23,22833
0,2.01,0,5,3,71.7,59.0,1.12,22,25427
0,2.01,0,5,3,71.9,60.0,1.00,22,24723
0,2.01,0,5,3,71.9,60.0,1.00,23,25172
0,2.01,0,5,3,72.6,56.0,1.08,23,26130
0,2.01,0,5,3,72.6,56.0,1.08,23,26604
0,2.01,0,6,3,67.7,67.0,1.02,19,24541
0,2.01,0,6,3,67.7,67.0,1.02,22,24150
0,2.01,1,1,1,69.4,61.0,1.19,22,13028
0,2.01,1,1,1,70.2,61.0,1.01,22,12445
0,2.01,1,1,3,70.8,60.0,1.07,22,14980
0,2.01,1,2,0,69.5,64.0,1.06,22,13257
0,2.01,1,2,1,69.7,66.0,1.06,22,16134
0,2.01,1,2,3,69.2,61.0,1.19,22,18780
0,2.01,1,3,2,69.8,60.0,1.06,18,20605
0,2.01,1,3,2,70.4,54.0,1.20,22,16956
0,2.01,1,3,2,70.9,59.0,1.01,20,21006
0,2.01,1,3,3,69.2,58.0,1.01,22,21847
0,2.01,1,3,3,69.5,65.0,1.09,22,22227
0,2.01,1,3,3,69.6,61.0,1.24,20,21395
0,2.01,1,3,4,69.1,59.0,1.02,22,18583
0,2.01,1,3,5,56.6,60.0,1.14,18,23336
0,2.01,1,4,2,70.5,61.0,1.02,18,25537
0,2.01,1,4,3,69.2,63.0,1.10,18,26479
0,2.01,1,4,3,69.2,63.0,1.10,22,25922
0,2.01,1,5,3,70.8,62.0,1.32,18,27862
0,2.01,1,5,3,70.8,62.0,1.32,22,27367
0,2.01,1,5,3,70.9,61.0,1.00,22,26831
0,2.01,1,5,3,70.9,61.0,1.00,23,27317
0,2.01,1,5,4,69.8,63.0,1.04,22,28492
0,2.01,1,5,4,69.8,63.0,1.04,23,28949
0,2.01,1,6,3,67.4,66.0,1.01,28,19370
0,2.01,2,1,1,68.6,61.0,1.04,22,12214
0,2.01,2,1,4,67.3,57.0,1.12,22,16740
0,2.01,2,1,5,66.7,62.0,1.14,22,16103
0,2.01,2,2,3,68.3,58.0,1.09,22,17982
0,2.01,2,2,5,66.7,62.0,1.16,18,21277
0,2.01,2,2,5,68.2,59.0,1.18,22,19354
0,2.01,2,3,2,64.7,58.0,1.08,22,20882
0,2.01,2,3,2,67.2,60.0,1.01,22,21136
0,2.01,2,3,2,67.2,64.0,1.18,18,23369
0,2.01,2,3,2,67.2,64.0,1.18,22,22792
0,2.01,2,3,2,68.4,62.0,1.15,18,21798
0,2.01,2,3,2,68.4,62.0,1.15,22,21259
0,2.01,2,3,2,68.7,58.0,1.00,19,22180
0,2.01,2,3,2,68.7,58.0,1.00,22,21632
0,2.01,2,3,3,68.4,61.0,1.04,23,24437
0,2.01,2,3,3,68.9,61.0,1.11,28,22781
0,2.01,2,3,4,68.8,60.0,1.15,22,22160
0,2.01,2,3,5,65.2,60.0,1.16,23,29911
0,2.01,2,3,5,66.2,63.0,1.15,24,28374
0,2.01,2,3,5,66.2,63.0,1.15,28,26853
0,2.01,2,3,5,67.2,57.0,1.13,18,26702
0,2.01,2,3,5,67.2,57.0,1.13,22,26196
0,2.01,2,3,5,67.7,61.0,1.08,19,22659
0,2.01,2,3,5,67.7,61.0,1.08,23,22227
0,2.01,2,3,6,66.9,60.0,1.19,19,27454
0,2.01,2,3,6,66.9,60.0,1.19,22,26992
0,2.01,2,4,2,66.7,57.0,1.11,19,25371
0,2.01,2,4,2,67.5,58.0,1.10,22,23867
0,2.01,2,4,2,68.7,58.0,1.17,18,26450
0,2.01,2,4,2,68.7,58.0,1.17,23,25850
0,2.01,2,4,3,65.6,59.0,1.17,18,28442
0,2.01,2,4,3,65.6,59.0,1.17,23,27846
0,2.01,2,4,5,66.6,63.0,1.00,19,27724
0,2.01,2,4,5,66.6,63.0,1.00,22,28302
0,2.01,2,5,2,67.8,59.0,1.03,18,25076
0,2.01,2,6,1,66.8,58.0,1.17,19,20752
0,2.01,2,6,1,66.8,58.0,1.17,22,20238
0,2.02,0,1,4,67.5,67.0,1.03,23,15736
0,2.02,0,2,3,68.3,70.0,1.17,18,20804
0,2.02,0,3,1,72.7,70.0,1.06,22,15276
0,2.02,0,3,4,72.6,62.0,1.13,19,23634
0,2.02,0,3,4,72.6,62.0,1.13,22,23133
0,2.02,0,4,2,69.2,68.0,1.15,18,21892
0,2.02,1,0,2,69.4,65.0,1.05,22,10372
0,2.02,1,1,0,68.9,52.0,1.12,22,13451
0,2.02,1,1,2,69.7,60.0,1.06,22,12745
0,2.02,1,1,4,69.2,63.0,1.08,28,15342
0,2.02,1,1,6,69.1,66.0,1.01,22,17347
0,2.02,1,3,2,69.1,62.0,1.04,18,21621
0,2.02,1,3,2,69.1,62.0,1.04,23,21621
0,2.02,1,3,4,69.3,64.0,1.21,19,22748
0,2.02,1,3,4,69.3,64.0,1.21,22,22268
0,2.02,1,3,6,69.0,65.0,1.02,24,29070
0,2.02,1,3,6,69.0,65.0,1.02,28,28585
0,2.02,2,2,4,66.8,62.0,1.00,22,19840
